Nom,Type de bière,Type de bière précision,Degré d'alcool,Brasserie,Pays,Prix,Amertume,Acidité,Vivacité,Puissance,Rondeur,Fruité,Visuel,Odeur,Goût,Description,Url
JUICE JUNKIE,BLONDE,NEIPA,5.4,BRUSSEL BEER PROJECT,BELGIQUE,3.85,4,2,6,6,4,6,"Robe jaune trouble, reflets dorés, épaisse mousse blanche","Arômes de fruits exotiques, d'ananas, d'agrumes, notes résineuses et houblonnées","Saveurs fruitées, notes résineuses, légère amertume","La Juice Junkie de la brasserie belge BBP est une véritable bombe tropicale ! L’utilisation d’avoine et de levures spéciales lors du brassage en font une véritable All Star !
Avec une robe trouble et à la texture crémeuse, cette NEIPA offre au nez des arômes très fuités et sur l'agrume accompagnés de notes de mangue. En bouche, on retrouve son caractère gourmand et crémeux qui se mêle aux saveurs fruitées et d'ananas !
Une bière artisanale onctueuse aux saveurs intenses !",https://vandb.fr/juice-junkie.html
CLOCKWORK TANGERINE,BLONDE,SESSION IPA,4.5,BREWDOG,ROYAUME-UNI,3.6,4,2,6,4,4,8,"Robe jaune dorée, reflets orangés, belle mousse blanche","Arômes d'agrumes (orange, mandarine, pamplemousse), notes houblonnées et de pin","Saveurs intenses de fruits, de mandarine, d'agrumes, touches houblonnées","Imaginez par la brasserie Écossaise Brewdog et inspirée du célèbre film de Stanley Kubrick ""Orange mécanique"" ou ""A Clockwork Orange"" en Anglais, cette Citrus Session IPA a été houblonnée avec les houblons Ahtanum, Amarillo, Cascade, Citra, Chinook, Nelson, Sauvin, Mosaic et Simcoe ! WOW !
Dévoilant une fois versée dans un verre, une robe blonde dorée aux reflets orangés et surmontée d'une belle mousse blanche, cette Citrus Session IPA se veut légère et juteuse ! Au nez, ses arômes se portent sur les agrumes; l'orange, la mandarine et le pamplemousse et se mêlent aux notes houblonnées et résineuses. En bouche, les saveurs sont intenses sur les fruits tropicaux, la mandarine et les agrumes. Des touches houblonnées se mêlent à une amertume légère.
Si juteuse qu'on croirait croquer dans des agrumes !",https://vandb.fr/clockwork-tangerine.html
PILI PILI BANG BANG,BLANCHE,WITBIER,4.7,MONT HARDI,FRANCE,3.6,2,2,6,4,6,6,"Robe blonde dorée, trouble, belle mousse blanche","Arômes de Yuzu, d'agrumes, d'épices et de levures","Bouche ronde et épicée, saveurs de pili pili et de yuzu","Pensée et créée par la brasserie artisanale et mayennaise Mont Hardi, la Pili Pili Bang Bang est une bière blanche au Pili Pili et au Yuzu. Amateur d'épices ou non, cette bière va surprendre !
Inspirée des Witbier belges, la Pili Pili Bang Bang, une fois versée dans un verre, dévoile une robe blonde et trouble surmontée d'une belle mousse blanche. Au nez, les arômes sont intenses et sur le Yuzu principalement. La bouche, ronde et épicée, apporte des saveurs de Yuzu sur l'attaque avant de laisser la place à des saveurs de Pili Pili grâce à un Dry Hopping. Modérément épicée, cela permet d'apporter une belle vivacité en bouche.
La Pili Pili Bang Bang est une bière équilibrée qui marque par son choix unique d'ingrédients !",https://vandb.fr/pili-pili-bang-bang.html
SANTA GOSE F&#% IT ALL,BLONDE,GOSE,3.8,TO ØL,DANEMARK,3.0,2,6,6,4,4,8,"Robe jaune brumeuse, reflets orangés, belle mousse blanche","Arômes de fruits tropicaux, notes de mangue, de fruit de la passion et de citron","Saveurs intenses de fruit de la passion, touches salées et de malt, belle acidité","Brassée au Danemark par la célèbre brasserie TO ØL, la Santa Gose F&#% It All est une bière moderne pensée dans l'éventualité ou le Père Noël serait lassé de faire sa tournée et préfèrerait se la couler douce sous le soleil des Bahamas !
Avec sa robe jaune brumeuse aux reflets orangés et surmontée d'une belle mousse blanche, cette Göse allie magie de Noël et saveurs d'été ! Au nez, elle offre des arômes de fruits tropicaux et des notes de mangue, de fruit de la passion et de citron. Sa bouche se veut vive et acidulée et apporte des saveurs intenses de fruit de la passion qui se mêlent aux touches salées et de malt. Équilibrée et bien acidulée elle se veut très rafraîchissante !
Si avec ça vous avez pas envie de faire bronzette au soleil !",https://vandb.fr/santa-gose-f-it-all.html
NITRO COCONUT PORTER,NOIRE,PORTER,5.5,BEVOG,AUTRICHE,3.6,4,2,4,6,8,2,"Robe noire, reflets bruns, dense mousse beige","Arômes de malt, de noix de coco, notes de café","Saveurs crémeuses de noix de coco, de malt torréfié, notes de noisette, de café, de vanille et de caramel","La Nitro Coconut Porter est brassée en Autriche par la brasserie Bevog ! La particularité de ce Porter est qu'il est un Nitro Porter ce qui signifie que la bière a été brassée avec de l'azote afin de la rendre encore plus légère et digeste !
La Nitro Coconut Porter est un régal noir très agréable ! Arborant une robe noire aux reflets bruns et surmontée d'une dense mousse beige, elle dévoile au nez des arômes de malt, de noix de coco et des notes de café. La bouche, crémeuse et savoureuse n'en reste pas moins légère et apporte de véritables saveurs de noix de coco et de torréfié grâce à l'utilisation de noix de coco grillées à la main mais aussi de grains de cacao ! Des touches de noisette, de café, de vanille et de caramel se distinguent tout au long de la dégustation et apportent une vraie complexité en bouche !
Un Porter gourmand qui n'en reste pas moins très léger, le rêve pour les amateurs de bières noires non ?",https://vandb.fr/nitro-coconut-porter.html
FIRST WORLD PROBLEMS,BLONDE,IPA,6.2,STEWART BREWING,ECOSSE,2.7,8,2,4,6,4,6,"Robe blonde, reflets ambrés, belle mousse blanche","Arômes fruités et citronnés, notes de levures","Saveurs de fruits et de levures belges, notes de seigle, de malt, belle amertume","Il n'y a rien de pire que de subir une connexion internet lente, de ne pas trouver que ce l'on cherche dans un magasin, de manger un fruit pas mur. Ah si ! Oublier de mettre sa First World Problems au frais pour pouvoir la déguster rapidement.
Cette IPA Écossaise est un mariage étonnant de malts du Nouveau Monde et de différentes variétés de levures. Avec une robe blonde aux reflets ambrés et sa belle mousse blanche, cette IPA dévoile au nez des arômes fruités et de citron. L'amertume affirmée apportée grâce à l'utilisation de houblons du Nouveau Monde vient se mêler en bouche à des saveurs de fruits et de levures belges, le tout magnifiquement équilibré avec l'ajout de seigle malté.
Comme quoi il y a pire dans la vie !",https://vandb.fr/first-world-problems.html
MOOR LAGER,BLONDE,LAGER,4.0,MOOR,ROYAUME-UNI,2.95,2,2,6,4,4,4,"Robe blonde dorée, légèrement trouble, fine mousse blanche","Arômes de malt, notes herbacées","Saveurs maltées, notes de citron, de baies et herbacées","Brassée à l'origine comme un one shot en l'honneur du premier festival ""We Are Läger"" à Manchester, la brasserie anglaise Moor a finalement succombé au charme de cette blonde à 4% et légèrement houblonnée !
Avec une robe blonde dorée, légèrement trouble et une fine mousse blanche, cette Läger moderne offre au nez des arômes de malt et des notes herbacées. Ses saveurs légères se portent sur des notes maltées, de citron, de baies et herbacées.
A déguster en profitant d'un bon vieux morceau de rock anglais comme Wonderwall de chez Oasis.",https://vandb.fr/moor-lager.html
OROSHI,BLANCHE,WHEAT ALE,4.5,AEROFAB,FRANCE,3.7,4,2,6,6,6,6,"Robe blonde claire trouble, fine mousse blanche","Arômes de malt, notes d'agrumes et de levures","Saveurs maltées et de houblons, notes d'agrumes et de poivres","Brassée près de Nantes par la brasserie Aerofab, Oroshi signifie en japonais, ""un vent qui souffle fort sur la pente d'une montagne"". Cette Wheat Ale moderne vient bouleverser le monde des bières de blé traditionnelles.
Avec sa robe blonde pâle, légèrement trouble et sa fine mousse blanche, elle est brassée uniquement avec du Citra et des levures ""neutres"". Au nez, elle apporte des arômes de malt et des notes d'agrumes et de levures. Sa bouche légère et équilibrée propose des saveurs bien maltées qui s'accompagnent de touches de houblons et d'agrumes grâce à l'utilisation de poivre de Sichuan et de Timut.
Envie d'une petite rafale légèrement houblonnée ?",https://vandb.fr/oroshi.html
AVALANCHE,BLONDE,PALE ALE,4.0,WICKLOW WOLF,IRLANDE,2.85,4,2,6,4,4,6,"Robe blonde trouble, fine mousse blanche","Arômes intenses d'agrumes, notes houblonnées et de malt","Saveurs fruitées, d'agrumes, notes maltées","La brasserie irlandaise Wicklow Wolf nous signe aujourd'hui une petite bière pleine de légèreté et pourtant si généreuse ! La Avalanche est une NEPA (New England Pale Ale) ayant bénéficié d'un houblonnage à froid avec les houblons Azacca et Idaho 7 qui lui apportent une belle intensité aromatique !
Arborant une robe blonde trouble et surmontée d'une fine mousse blanche, cette NEPA révèle au nez, des arômes intenses d'agrumes, notes houblonnées et de malt. Les saveurs en bouche sont généreuses et légères, une belle présence de fruits tropicaux et d'agrumes. Les notes maltées apportent une belle base équilibrée à la bière. Sa finale se veut légèrement amère.
Sentez-vous la magie de l'hiver s'emparer de vous ? C'est ça l'effet d'une Avalanche !",https://vandb.fr/avalanche.html
THE DARK DRUID,NOIRE,STOUT,5.5,WHITE HAG,IRLANDE,2.9,4,2,6,6,8,4,"Robe noire, reflets bruns, dense mousse beige","Arômes puissants de noix de coco, notes de chocolat et de caramel au beurre salé","Saveurs gourmandes de noix de coco et de chocolat, finale fondante et légèrement amère","Imaginée et brassée par la brasserie irlandaise The White Hag, la Dark Druid est un véritable dessert en canette ! Brassée avec des ingrédients gourmands, elle promet, à qui veut la gouter, de passer un moment magique !
Une fois versée dans un verre, ce Pastry Stout révèle une robe d'un noir profond qui s'accompagne de reflets bruns. Une dense mousse beige domine. Portée au nez, la Dark Druid apporte des arômes puissants de noix de coco qui se mêlent aux notes de chocolat et de caramel au beurre salé. Gourmande en bouche, elle reste tout de même légère et laisse tout le potentiel des saveurs de noix de coco et de chocolat s'exprimer ! Sa finale se veut sur le côté fondant du chocolat et une légère amertume se distingue !
Allez-vous vous laisser tenter par ce petit délice chocolat et noix de coco ?",https://vandb.fr/the-dark-druid.html
IMPLOSION,BLONDE,IPA,0.3,TO ØL,DANEMARK,2.7,6,4,4,0,4,6,"Robe jaune pâle, trouble, fine mousse blanche","Arômes de fruits tropicaux, agrumes, pamplemousse, céréales, notes végétales","Légère acidité, notes d'agrumes, fruits tropicaux, pamplemousse, finale sèche et plutôt amère","Brassée par la célèbre brasserie artisanale danoise To Øl, Implosion est une véritable IPA avec une belle aromatique et sans alcool !
Révélant une fois servie dans un verre une robe jaune pâle et trouble avec une fine mousse blanche sur le dessus, cette IPA sans alcool offre au nez des arômes de fruits tropicaux, d'agrumes et de pamplemousse. Des notes de céréales et végétales sont perceptibles. En bouche, on retrouve, dès l'attaque, une légère acidité qui se mêle au saveurs intenses d'agrumes, de fruits tropicaux et de pamplemousse. La finale se veut sèche et amère.
Quoi de mieux que de pouvoir profiter d'une bière IPA et de sa belle aromatique sans se soucier du lendemain !",https://vandb.fr/implosion.html
45 DAYS ORGANIC PILSNER,BLONDE,PILS,4.7,TO ØL,DANEMARK,2.8,6,4,6,4,6,4,"Robe dorée, limpide, mousse généreuse","Notes de céréale, pain, houblon, notes herbacées","Fraîche, légère, désaltérante, notes céréalières croustillantes, finale sèche et légèrement amère","Brassée au Danemark par la célèbre brasserie To Øl, cette bière artisanale Bio revisite le genre des bières Pilsner et vient le dépoussiérer !
Inspirée du style original, la 45 Days Organic Pilsner dévoile une robe blonde limpide aux reflets dorés et surmontée d'une mousse généreuse. Au nez, les arômes de céréales et de pain, se mêlent aux notes de houblons et herbacées. Fraîche et légère en bouche, elle se veut très désaltérante ! Ses saveurs céréalières croustillantes dominent et amènent vers une finale sèche et légèrement amère.
La brasserie To Øl a été assez patiente pour attendre 45 jours. Nous vous conseillons de ne pas faire la même bêtise !",https://vandb.fr/45-days-organic-pilsner.html
HOUSE OF PALE,BLONDE,PALE ALE,5.5,TO ØL,DANEMARK,3.2,6,4,6,6,4,6,"Robe jaune orangée, légèrement trouble, fine mousse blanche","Arômes de houblon frais, fruits tropicaux, litchi, agrumes, levures, notes végétales","Saveurs de fruits tropicaux, mangue, litchi, agrumes, notes florales, finale sèche et légèrement amère","Imaginée et créée à Copenhague par la brasserie danoise To Øl, la House Of Pale est une American Pale Ale avec une belle aromatique et qui se veut très équilibrée.
Avec sa belle robe jaune orangée, légèrement trouble et coiffée d'une fine mousse blanche, la House of Pale montre au nez des arômes de houblon frais, de fruits tropicaux, de litchi et d'agrumes. Les notes de levures, et végétales promettent alors une belle complexité en bouche. A peine portée aux lèvres, les saveurs de fruits tropicaux, de mangue, et de litchi dominent et sont accompagnées de touches d'agrumes et florales avant d'amener vers une finale sèche et légèrement amère.
Une petite bombe houblonnée et très facile à boire, ça vous tente ?",https://vandb.fr/house-of-pale.html
SNOWED IN,ROUGE,SOUR,7.0,EDGE BREWING,ESPAGNE,4.0,2,8,6,6,4,6,"Robe rouge, reflets cramoisis, fine mousse rose","Arômes gourmands de vin chaud, de bonbons sucrés, de cerise, notes d'épices et de réglisse","Saveurs gourmandes de bonbons, d'épices, de cannelle, de réglisse, belle acidité","Brassée à Barcelone par Edge Brewing, et spécialement pour les fêtes de fin d'année, la bière Snowed In est une Berliner Weisse brassée avec tous les ingrédients nécessaires à la réussite d'un bon vin chaud ! Oui oui, vous avez bien lu, nous parlons ici de vin chaud !
A peine versée dans un verre vous observerez sa robe d'un rouge intense, surmontée d'une fine mousse rose. Au nez, les arômes sont intenses et promettent beaucoup de gourmandise. On sent alors le vin chaud, mais aussi le bonbon à la cerise ! Des notes d'épices et de réglisse se mêlent à un côté sucré bien équilibré. En bouche, on retrouve ces saveurs gourmandes et chaleureuses qui nous transportent sur les marchés de Noël de Colmar (connus pour être les plus beaux) et nous rappellent avec beaucoup d'élégance le vin chaud que l'on y sert !
A tous les nostalgique des fêtes de fin d'année, aux expatriés ou simplement aux amoureux de bières acidulées, la Snowed In vous laissera sans voix !",https://vandb.fr/snowed-in.html
STRIP,BLANCHE,WHEAT ALE,5.0,OEDIPUS,PAYS-BAS,3.2,4,2,6,4,4,4,"Robe jaune pâle légèrement trouble, fine mousse blanche","Arômes fruités, de citron et de malt, très légère acidité","Bouche légère et fraîche, saveurs d'agrumes et de houblons. Finale légèrement amère","Brassée en collaboration avec leur voisin SkateCafe, la brasserie artisanale néerlandaise Oedipus nous offre une version colorée d'une Wheat Ale ! Comme l'état d'esprit de la brasserie, la Strip se veut haute en couleur et en aromatique !
Arborant une robe jaune pâle légèrement trouble et surmontée d'une fine mousse blanche, cette Wheat Ale donne au nez des arômes intenses de fruits, de citron et de malt avec une très légère acidité. La bouche se veut légère et fraîche avec des saveurs légèrement sucrées et amères et des touches d'agrumes et de houblons. La finale vient clore la dégustation de cette bière sur une amertume modérée.
Ça vous dit de trainer ensemble autour d'une Strip ?",https://vandb.fr/strip.html
HOPTOPOD,AMBRÉE,IPA,6.5,DOGMA,SERBIE,3.8,8,2,6,6,4,6,"Robe ambrée, reflets dorée, légèrement trouble, fine mousse blanche persistante","Arômes d'agrumes, notes florales, de citron et de fruits tropicaux","Saveurs d'agrumes, florales, de citron, herbacées, finale sèche, amertume puissante","La Hoptopod est une bière IPA brassée en Serbie dans la brasserie artisanale Dogma. Située à Belgrade, cette dernière nous propose une India Pale Ale qui tire son inspiration des West Coast IPA et met en valeur les houblons Simcoe, Mosaic et Yakima !
Arborant une robe ambrée avec des reflets dorés, la craft beer Hoptopod charme par ses arômes d'agrumes, de citron et de fruits tropicaux. En bouche, les saveurs houblonnées et herbacées se mêlent à de subtils touches de citron. Son amertume puissante qui la caractérise bien amène vers une finale sèche.
Alors, envie de profiter de cette exclusivité V and B ? RDV côté cave à bière !",https://vandb.fr/2719608/hoptopod.html
EROICA,BLONDE,IPA,6.1,PIGGY BREWING,FRANCE,3.9,8,4,6,6,6,6,"Robe jaune, opaque, mousse blanche épaisse","Arômes houblonnés, de fruits tropicaux et d'agrumes, notes végétales","Bouche onctueuse, légèrement acidulée, saveurs houblonnées de fruits tropicaux, citron, ananas, notes végétales, finale sèche et amère","""Eroica"", aussi appelée ""Énergie créatrice"" par Piggy Brewing, est la première IPA faite dans la nouvelle brasserie à Liverdun. Cette DDH IPA brassée avec de l'avoine et houblonnée avec 5 différentes variétés de houblons (Ekuanot, Simcoe, Citra, Cascade et Mosaïc) offre un profil aromatique proche d'une NEIPA.
Avec une robe jaune, opaque, et coiffée d'une belle mousse blanche épaisse, la bière Eroica dévoile au nez des arômes houblonnés, de fruits tropicaux et d'agrumes, ainsi que des notes végétales. Cette bière DDH IPA à la bouche onctueuse et légèrement acidulée apporte des saveurs houblonnées sur les fruits tropicaux, le citron Sa finale se veut sèche et amère.
Envie de GDH ? (Gros Dry Hopping)",https://vandb.fr/eroica.html
PICK ME UP,BLONDE,PALE ALE,4.5,PIGGY BREWING,FRANCE,3.6,6,4,6,4,4,6,"Robe jaune dorée, légèrement trouble, fine mousse blanche","Arômes de fruits tropicaux, d'agrumes, notes herbacées","Douce et fruitée, notes houblonnées et herbacées, fruits tropicaux, agrumes, finale légèrement amère","Pensée et créée par la brasserie nancéienne Piggy Brewing, la bière Pick Me Up est une American Pale Ale brassée avec le houblon Citra ! Légère, fruitée mais gourmande, c'est la bière parfaite pour découvrir le monde de la bière artisanale !
Avec sa robe jaune dorée, légèrement trouble et sa fine mousse blanche, cette APA dévoile au nez des arômes de fruits tropicaux, d'agrumes et des notes herbacées. En bouche, elle se veut douce et fruitée avec des notes houblonnées et herbacées qui prédominent dès l'attaque avant de laisser la place aux touches de fruits tropicaux et d'agrumes. Sa finale est légèrement amère.
Tu ne te doutais pas en montant à l'arrière de ce pick up de l'aventure qui t'attendait ? Maintenant, tu le sais au plus profond de toi, cette rencontre vient à tout jamais de changer ta vie !",https://vandb.fr/pick-me-up.html
CARTE BLANCHE,BLANCHE,WHEAT ALE,5.0,PIGGY BREWING,FRANCE,3.75,4,4,6,4,4,4,"Robe jaune pâle, trouble, fine mousse blanche","Arômes de blé, touches citronnées intenses, de levures et d'agrumes","Douce et fruitée, notes houblonnées et citronnées, agrumes, blé, levures, légèrement acidulée, finale légèrement amère","Brassée en Lorraine par la brasserie artisanale Piggy Brewning, la Carte Blanche est une Witbier qui sort des sentiers battus en alliant houblons peu communs et levures belges !
Arborant une robe jaune pâle, trouble et coiffée d'une fine mousse blanche, la bière Carte Blanche propose au nez des arômes des arômes de malt qui se mêlent à des touches citronnées intenses mais aussi de levures et d'agrumes. Douce et fruitée, cette Witbier révèle des saveurs houblonnées et citronnées. Les notes d'agrumes et de blé apportent une légère acidité et le soupçon de noix de coco surprend en fin de bouche. La finale est légèrement amère pour cette craft beer.
On vous aura prévenu, avec la Carte Blanche vous allez vous la couler douce !",https://vandb.fr/carte-blanche.html
