Nom,Type de rhum,Type de rhum précision,Degré d'alcool,Brasserie,Pays,Prix,Epicé/Boisé,Tourbé/Fumé,Fruité,Floral/Végétal,Vivacité,Sucrosité,Pâtissier,Visuel,Odeur,Goût,Ancienneté,Description,Url
BALLY 3 ANS 45%,AMBRÉ,RHUM - TRADITION FRANÇAISE,45.0,BALLY,MARTINIQUE,45.0,10,0,10,6,8,4,6,"Ambré, Cuivré","Intense, Vanillé, Boisé, Fruits Secs, Fruits Confits, Dattes, Figues","Vive, Généreuse, Fruitée, Fraiche, Agrumes, Vanille, Épices douces, Boisée",3,"C'est en 1917 que Jacques Bally fonde la Maison J.Bally. Dès les premiers jours de la distillerie, il eut le génie de faire vieillir les distillats en fûts, comme pouvait le faire les autres grands alcools français. Depuis, la Maison Bally a su se développer et acquérir une place spéciale dans le cœur des amateurs de rhum.
Ce rhum ambré de 3 ans est un retour aux sources pour la Maison, Le jus est tout aussi exceptionnel et parfaitement mis en valeur par cette sublime carafe pyramidale dessinée la première fois dans les années 30.
On ressent toute l'importance du vieillissement. Ce rhum ambré de 3 ans est d'une rare finesse, à la complexité inégalée. Se rencontrent le bois précieux, les fruits secs et confits, les notes vanillées, de cuir et de tabac... Une dégustation exceptionnelle, équilibrée, qui vous ravira à coup sûr !",https://vandb.fr/bally-3-ans-45-.html
LA FAVORITE RIVIÈRE BEL'AIR 2019 53%,BLANC,RHUM - TRADITION FRANÇAISE,53.0,LA FAVORITE,MARTINIQUE,49.9,0,0,10,8,6,4,0,Cristallin,"canne à sucre, agrumes, fleur blanche","Fruits exotiques, canne fraîche. fruitée, sucre doux.",0,"Cette cuvée Rivière Bel'Air est produite à partir d'une seule variété de canne rouge (B64.277) cultivée sur 3 petits hectares attenant à la distillerie.
La distillerie emblématique de Martinique nous offre une fois encore un embouteillage monovariétal sublime.
le processus traditionnel est maitrisé à la perfection : longue fermentation, distillation en continue et réduction lente. Le tout mise en route par la même machine à vapeur depuis plus de 100 ans ! De quoi obtenir un distillat d'une grande fraicheur, avec des notes de canne pure, légèrement sucré et très fruité.
Une magnifique réalisation qui se suffit à elle-même, ou accompagné d'un zest de citron vert.",https://vandb.fr/la-favorite-riviere-bel-air-2019-53-.html
CARONI TRINIDAD 22 ANS 1998 BALAS BHAGGAN EMPLOYEES 4TH REL.,AMBRÉ,RUM - TRADITION ANGLAISE,68.4,CARONI,TRINITÉ ET TOBAGO,395.0,4,8,8,6,2,0,6,Acajou,"Agrumes, chocolat, orange amère, pamplemousse, épices","Tabac, boisé, hydrocarbures",22,"Cet embouteillage fait partie de la quatrième édition de la collection Employees, qui rend hommage aux employés qui ont travaillé à la distillerie. A l'honneur ici, Balas Bhaggan, qui travailla durant 14 ans à la distillerie et qui œuvra pour son développement.
Ce 22 ans, distillé en 1998, est un assemblage de 6 fûts vieilli exclusivement à Trinidad.
Un joyau qui sublimera votre collection de rhums !
L'histoire de Caroni est tout aussi exceptionnelle que les distillats qu'elle continue de nous offrir malgré sa fermeture. Fondée en 1918, Caroni était la distillerie d'état de Trinidad, mais aussi la plus grande sucrière du pays. Durant 84 ans, la distillerie a tourné à plein régime, profitant de ses alambics à colonne et à repasse pour produire des ""Heavy Rums"", une catégorie de rhums au style particulier car lourd en particules aromatiques. En 2002, sur décision de l'État, la distillerie ferme ses portes. Quelques années plus tard, la Maison Vellier et La Maison du Whisky s'allient pour le rachat de plusieurs centaines de fûts restants. Depuis, les embouteillages sont en édition limitée et rencontrent un succès fous, aussi bien auprès des amateurs que des collectionneurs.",https://vandb.fr/caroni-trinidad-22-ans-1998-balas-bhaggan-employees-4th-rel-.html
CARONI TRINIDAD 20 ANS 2000 BASDEO RAMSARRAN EMPLOYEES 4TH REL.,AMBRÉ,RUM - TRADITION ANGLAISE,64.3,CARONI,TRINITÉ ET TOBAGO,385.0,6,10,8,4,2,0,4,Brun,"Hydrocarbures, cacao, fruits mûrs, floral","Hydrocarbures, cacao, végétal, médicinal, camphre, fruité, épicé",20,"L'histoire de Caroni est tout aussi exceptionnelle que les distillats qu'elle continue de nous offrir malgré sa fermeture. Fondée en 1918, Caroni était la distillerie d'état de Trinidad, mais aussi la plus grande sucrière du pays. Durant 84 ans, la distillerie a tourné à plein régime, profitant de ses alambics à colonne et à repasse pour produire des ""Heavy Rums"", une catégorie de rhums au style particulier car lourd en particules aromatiques. En 2002, sur décision de l'État, la distillerie ferme ses portes. Quelques années plus tard, la Maison Vellier et La Maison du Whisky s'allient pour le rachat de plusieurs centaines de fûts restants. Depuis, les embouteillages sont en édition limitée et rencontrent un succès fous, aussi bien auprès des amateurs que des collectionneurs.
Cet embouteillage fait partie de la quatrième édition de la collection Employees, qui rend hommages aux employés qui ont travaillé à la distillerie. Sur ce 20 ans du millésime 2000, c'est Badeo Ramsarran et ses 20 ans d'ancienneté qui sont mis à l'honneur.
Assemblage de 6 fûts différents, cet embouteillage est assurément un Caroni avec ces notes d'hydrocarbures emblématiques !
Un joyau qui sublimera votre collection de rhums !",https://vandb.fr/caroni-trinidad-20-ans-2000-basdeo-ramsarran-employees-4th-rel-.html
CARONI TRINIDAD 22 ANS 1998 DAYANAND BALLOON EMPLOYEES 4TH R,AMBRÉ,RUM - TRADITION ANGLAISE,68.3,CARONI,TRINITÉ ET TOBAGO,395.0,6,8,10,8,4,0,0,Acajou,"Agrumes, noix","Fruits exotiques, floral, hydrocarbures",22,"Une fois encore, Caroni rend un magnifique hommage aux hommes et femmes qui ont fait la distillerie durant plus de 8 décennies d'existence. Cette fois-ci, Dayanad Balloon est à l'honneur, une manière de le remercier pour ses 10 années de travail acharné chez Caroni.
Sélectionné par Luca Gargano lui-même, accompagné de passionnés, cet embouteillage prouve une fois encore l'unicité de la distillerie, tel un joyaux des Caraïbes, qui vous assure un instant de dégustation intense et inoubliable.
L'histoire de Caroni est tout aussi exceptionnelle que les distillats qu'elle continue de nous offrir malgré sa fermeture. Fondée en 1918, Caroni était la distillerie d'état de Trinidad, mais aussi la plus grande sucrière du pays. Durant 84 ans, la distillerie a tourné à plein régime, profitant de ses alambics à colonne et à repasse pour produire des ""Heavy Rums"", une catégorie de rhums au style particulier car lourd en particules aromatiques. En 2002, sur décision de l'État, la distillerie ferme ses portes. Quelques années plus tard, la Maison Vellier et La Maison du Whisky s'allient pour le rachat de plusieurs centaines de fûts restants. Depuis, les embouteillages sont en édition limitée et rencontrent un succès fous, aussi bien auprès des amateurs que des collectionneurs.
Un diamant brut qui sublimera votre collection de rhums !",https://vandb.fr/caroni-trinidad-22-ans-1998-dayanand-balloon-employees-4th-r.html
DON PAPA RYE CASK 45%,AMBRÉ,RON - TRADITION ESPAGNOLE,45.0,BAGO,PHILIPPINES,75.0,8,0,6,0,0,6,6,Jaune doré,"Epices, seigle, caramel salé, fruits","Céréales, épices, pruneaux, seigle, chocolat noir",4,"Cette innovation de Don Papa est assez unique dans les paysages des rhums.
La célèbre signature des Philippines est reconnu pour sa gourmandise opulente. Avec cette édition, Don Papa sort des sentiers battus, et profite d'un long affinage de 4 ans dans fûts ayant contenu des whiskeys de Rye du Tennessee aux USA.
Et c'est une belle surprise ! La gourmandise est toujours là, mais celle-ci est enrobée d'une touche céréale délicate. Un bel équilibre se ressent entre les saveurs de seigle croquantes, et les notes plus épicées rappelant le chocolat, les pruneaux et le miel. Un joli boisé affine le tout.
Ce Don Papa est rare et unique, et saura vous transporter vers de nouveaux horizons ! Une belle réussite !",https://vandb.fr/don-papa-rye-cask-45-.html
"CLAIRIN COMMUNAL ANSYEN 49,30%",AMBRÉ,RHUM - TRADITION FRANÇAISE,49.3,MULTIPLES,HAÏTI,53.0,2,6,10,8,4,2,4,Topaze,"Empyreumatique, fraise, floral","Médicinal, réglisse, menthe, banane",1,"Ce Clairin Communal Ansyen est un rhum à part entière. Développé par la maison Vellier, reconnue pour ces embouteillages d'exceptions, cet Ansyen est un assemblage de quatre clairins, style haïtien traditionnel : Sajou, Vaval, Casimir et Le Rocher.
Au delà de cette rencontre exceptionnelle, les jus ont profité d'un vieillissement double, d'abord en fûts de rhums (Bielle, Caroni, Mount Gay…), puis en fûts ayant contenu du whiskies, aussi bien Écossais qu'Américains (Benriach, Widow Jane, Buffalo Trace, Jack Daniel’s…).
On obtient ainsi un rhum unique à la palette aromatique très étendue, parcourant tous les styles : floraux, fruités, épicés, empyreumatiques, herbacés et miellés... Une très jolie dégustation, somme de l'ensemble des éléments qui le constituent, des jus aux fûts !",https://vandb.fr/clairin-communal-ansyen-49-30-.html
PROVIDENCE 57%,BLANC,RHUM - TRADITION FRANÇAISE,57.0,DISTILLERIE DE PORT AU PRINCE,HAÏTI,43.0,4,0,10,8,8,4,0,Cristallin,"Canne fraîche, fruits blancs et exotiques, gingembre","Canne fraîche, jus de poire, minéral, abricot, crémeux",0,"Produit par la Distillerie de Port-au-Prince, dans la ville du même nom à Haïti, cet embouteillage unique présente les premières gouttes de distillat qui sortent de l'alambic de la distillerie. Un long projet orchestré par Luca Gargano, de la Maison Vellier, les héritiers de la famille Barbancourt et son compère Gianni Capovilla.
Il est issu de l'assemblage de pur jus et de sirop de canne Cristalline. Après une fermentation lente, et une distillation en alambic à repasse Muller en Novembre 2019, on obtient un rhum riche, vif, extrêmement aromatique (538,9 g/hlp de composées aromatiques !).
Et nous, on adore ce genre de rencontre ! Foncez, il n'y en aura par pour tout le monde !",https://vandb.fr/providence-57-.html
"PLANTATION BARBADOS 2011 51,1%",AMBRÉ,RUM - TRADITION ANGLAISE,51.1,WIRD,BARBADE,59.0,8,0,10,2,6,0,6,Or Profond,"Boisé, épicé, raisins, prune, agrumes, amandes","Raisins, noix, chocolat, caramel, vanille, muscade, floral, agrumes",9,"Plantation continue de nous proposer des millésimes exceptionnels avec cette fois une sélection de 24 fûts cachés des chais de la distillerie West Indies.
Ce rhum a des caractéristiques uniques : Les jus sont un assemblage de deux styles d'alambic : une distillation en colonne, et une distillation en deux temps dans le fameux alambic Gregg's Farm. Par la suite, les jus distillés ont vieillis durant 4 ans et demi sous un climat tropical, accentuant l'échange avec le bois, avant de profiter d'une seconde maturation continentale, dans les chais du Château de Bonbonnet, dans des fûts de Cognac Ferrand.
On obtient ainsi un rhum ambré boisé, aux notes complexes et empyreumatiques, de chocolat croquant, d'épices chaleureuses, le tout est d'une rare gourmandise.",https://vandb.fr/plantation-barbados-2011-51-1-.html
NEISSON L'ESPRIT BIO 70%,BLANC,RHUM - TRADITION FRANÇAISE,70.0,NEISSON,MARTINIQUE,66.0,4,0,8,10,10,0,0,Cristallin,"Végétal, terreux, poivre","Douce, agrumes, terreux, canne fraîche",0,"Cela a pris 5 ans à Neisson pour acquérir sa certification Agriculture Biologique. Un symbole de son attachement au terroir, à la terre qui permet d'obtenir les rhums purs et expressifs de la gamme. C'est en plus une étape particulière qui est franchit par la Maison : en effet, Neisson devient le premier rhum AOC bio au monde ! Une belle avancée pour toute la catégorie.
L'Esprit BIO est produit à partir des cannes à sucre de variétés spécifiques (canne rouge B64, cannelle B82.033 et zicak B59) cultivées autour de la distillerie. Après avoir profité du savoir-faire de la distillerie, on obtient un jus cristallin empli d'arômes de cannes fraiches et de fruits. Une véritable invitation au voyage au cœur des champs de cannes !",https://vandb.fr/neisson-l-esprit-bio-70-.html
LA FAVORITE LA DIGUE 2019 52%,BLANC,RHUM - TRADITION FRANÇAISE,52.0,LA FAVORITE,FRANCE,46.0,6,0,6,10,8,2,0,Cristalline,"Canne fraîche, citron, réglisse, poivre, floral","Anis, réglisse, poivre, eucalyptus, amande",0,"Après la cuvée Rivière Bel'Air, La Favorite nous offre une autre écriture du rhum blanc mono-variétal. Cultivé sur de petits champs de 3 hectares, la Roseau (B.59.92) nous offre un style fin et élégant d'une grande pureté.
Sur cet embouteillage, les arômes sont plus souples, plus ronds. Belle rencontre entre les notes pâtissières, d'amande, à celles plus vives de cannes fraiches, et d'arômes floraux comme le lys.
Une cuvée 2019 toujours aussi maitrisée grâce à une sélection manuelle des cannes à sucre, une fermentation longue pour développer un maximum d'arômes, une distillation en continue dans deux colonnes créoles typiques, et une réduction légère et lente. De quoi en faire un grand rhum !",https://vandb.fr/la-favorite-la-digue-2019-52-.html
LONGUETEAU SYMPHONIE BATCH 8 49.2%,AMBRÉ,RHUM - TRADITION FRANÇAISE,49.2,LONGUETEAU,FRANCE,69.0,10,0,4,0,4,0,6,Fauve,"épices, vanille, muscade, cannelle","Épices gourmandes, plus fondues, caramel mou",0,"Qui a dit que la musique et la dégustation n'étaient pas compatibles ?
Au contraire c'est un exercice fort sympathique à faire, voici le principe :
Mettez une musique de votre choix
Fermez les yeux
Dégustez une lampée
Evadez-vous au pays des rêves.
Revenez parmi nous puis réitérez l'expérience avec un autre son.
A vous d'imaginer quelle musique François Longueteau écoutait lors de la création de ce batch 6.
Pour en revenir au rhum, la nouvelle version de cette collection symphonie, le batch 6, est embouteillé à 49,8%. Il sera probablement comme ces prédécesseurs, un succès trop vite disparu.
Peut-être que lors de cette dégustation vous plongerez dans un rythme endiablé au son des tambours caribéen steel pan.
Bonne dégustation !",https://vandb.fr/longueteau-symphonie-batch-8-49-2-.html
J.M VO 43%,AMBRÉ,RHUM - TRADITION FRANÇAISE,43.0,J.M,MARTINIQUE,39.0,10,0,2,6,6,0,8,Or clair,"Tabac blond, coco, noisette, cannelle","Amande, gingembre, eucalyptus, fleur d'oranger",3,"Depuis plusieurs décennies, la distillerie J.M a développé un savoir-faire basé sur une tradition ancestrale.
Ce rhum est élaboré à partir de cannes à sucre provenant exclusivement d'un plateau profitant de la chaleur du soleil à l'Habitation Bellevue. Après une sélection minutieuse, les cannes fraiches sont broyées avant d'être distillées dans deux alambics traditionnels. Le degré de distillation étant relativement bas, 72%, les qualités organoleptiques de la canne sont préservées, garantissant une fraicheur incroyable, et une explosion d'arômes.
Dans la catégorisation des rhums agricoles, l'indication VO, signifie un vieillissement de minimum 3 ans. Ici, ce vieillissement est réalisé dans des fûts de chêne blanc, avec un toastage marqué, Ainsi, les arômes de cannes fraiches sont délicatement enrobés d'un boisé élégant.
Ce rhum J.M VO est sans conteste l'un des meilleurs rhums du monde !",https://vandb.fr/j-m-vo-43-.html
LA FAVORITE COEUR D'AMBRE 45%,AMBRÉ,RHUM - TRADITION FRANÇAISE,45.0,LA FAVORITE,FRANCE,37.0,10,0,4,8,10,0,0,Ambre,"Poivre, floral, jus de canne, passion","Poivre, canne fraîche, végétal",1,"Dans le panorama des rhums agricoles, La Favorite fait largement partie des distilleries les plus emblématiques. C'est son caractère très traditionnel qui la différencie. Par exemple, sa machine à vapeur, qui fait fonctionner l'ensemble de la distillerie, tourne depuis 1920.
Ce rhum ambré est une excellente porte d'entrée dans la gamme riche et prestigieuse de la distillerie. Vieilli durant 18 mois en fûts de chêne, le caractère floral, herbacé et minéral de La Favorite est enrobé de joli arôme épicé et boisé. On obtient ainsi un rhum parfait pour la dégustation pure, mais aussi pour accompagner un repas. N'hésitez pas à le déguster en Ti Punch, et ainsi exacerber ces arômes fruités !",https://vandb.fr/la-favorite-coeur-d-ambre-45-.html
