Nom,Type de vin,Type de vin précision,Degré d'alcool,Brasserie,Pays,Prix,Fruité,Vivacité,Puissance,Epicé/boisé,Visuel,Odeur,Goût,Accompagnements,Description,Url
DOMAINE STRIFFLING RÉGNIÉ CRÊT D'OEILLAT ROUGE 2018,ROUGE,REGNIE,12.5,DOMAINE STRIFFLING,FRANCE,10.2,8,8,6,0,"Rouges rubis, reflets rosés","Panier de fruits rouges croquants, savoureux","Distingué, longiligne, convivial","Apéro, Viande blanche, Charcuterie, Tapas, Tarte salée","Vignoble familial depuis 1678, le domaine Striffling est aujourd’hui conduit en approche biodynamique, dans le respect des sols, de la vigne et pour une grande qualité du vin. Guillaume Striffling, qui a repris le vignoble en 2012 s'inspire avec bon sens de l'agriculture bio et biodynamique et s'il n'a pas le label, sa philosophie nous a séduit.
Le Régnié produit sur le terroir du “Crêt d'Oeillat” est un vin rond et parfumé aux notes de petits fruits rouges (framboise, groseille). Une touche de minéralité lui apporte la fraîcheur bienvenue pour accompagner agréablement les apéritifs des beaux jours.",https://vandb.fr/domaine-striffling-regnie-cret-d-oeillat-rouge-2018.html
"MENDOZA EL PRISIONERO ARGENTINE ROUGE 2019 13,8%",ROUGE,ARGENTINE,13.8,VINCENTI INTERNATIONAL,ARGENTINE,9.0,8,2,6,4,Violine,"Puissant, épicé, vanillé, fruit rouge","attaque sèche, puissant, rond, fruité, framboise, fruits rouge, épices douces, finale douce","Viande rouge, Charcuterie, Tapas, Burger","La région de Mendoza en Argentine est située au niveau de la Cordillère des Andes, haut perché sur les hauteurs argentines. Cette altitude permet de contrebalancer un climat désertique. Cette région est la plus importante des régions viticoles d'Argentine, on y fait du vin depuis que les colons espagnols y ont implanté des vignes. Là-bas, on est spécialiste du Malbec, qui s'épanouie à merveille sous le soleil argentin.
El Prisionero est un trublion au milieu des autres vins argentins, bien loin des vins argentins très riches, parfois lourds, celui-ci fait preuve d'une légèreté et d'une gourmandise qui détonne. On laisse ici le Malbec se libérer des contraintes argentines et on le laisse exploser !",https://vandb.fr/mendoza-el-prisionero-argentine-rouge-2019-13-8-.html
DOMAINE GUEISSARD BANDOL ROUGE 2016,ROUGE,BANDOL,13.5,DOMAINE GUEISSARD,FRANCE,19.2,6,2,10,10,Rouge pourpre profond,"Fruits rouges, Garrigues","Ample, Tanins fondus, Fruits rouges, Épices","Viande rouge, Gibier, Barbecue, Burger, Ribs",On peut résumer l'histoire du vignoble Gueissard par les deux mots persévérance et ambition. Un rêve fou devenu réalité pour ces deux jeunes vignerons qui n'ont pas d’aïeuls dans le monde du vin. Mais Pauline et Clément y ont cru ! Ils maîtrisent aujourd'hui le terroir de Bandol pour produire cette jolie cuvée rouge qui exalte la garrigue et les fruits rouges. Un vin puissant à marier avec des plats qui tiennent la route comme des gibiers ou des truffes.,https://vandb.fr/domaine-gueissard-bandol-rouge-2016.html
DOMAINE CASTELNAU FILS DE POULE BLANC 2020,BLANC,PAYS D'OC,13.0,DOMAINE CASTELNAU,FRANCE,7.9,8,4,6,4,"Jaune paille, reflets or verts","Fruits blancs, agrumes, toasté","Ample, gras, rond","Viande blanche, Poisson, Apéro, Salade de saison","Castelnau est un domaine très ancien du Sud de la France. Les cépages iconiques de cette région, ici le Chardonnay, sont cultivés en agriculture raisonnée, les baies sont ramassées de nuit à pleine maturité pour s'assurer de leur fraîcheur. Au chais, l'usage des sulfites est limité et l'élevage des vins sur lie permet d'apporter de la rondeur.
Il en résulte un 100% Chardonnay aux arômes de fruits blancs mûrs, de fleurs et de vanille. Un vin gourmand, ample et fruité, idéal sur des sushis, un ceviche ou tout simplement à l’apéritif.
Un Chardonnay de soleil avec un packaging décalé en exclusivité V and B.",https://vandb.fr/domaine-castelnau-fils-de-poule-blanc-2020.html
DOMAINE DE SURIANE CUVÉE 1884 BLANC 2019,BLANC,COTEAUX D'AIX EN PROVENCE,13.0,DOMAINE DE SURIANE,FRANCE,8.2,8,4,4,0,"Jaune doré, reflets argentés, limpide, brillant","Pêche, poivre confite, floral","Souple, rond, méditerranéenne","Poisson, Apéro, Fromage de chèvre, Salade de saison","1884, c'est l'année de naissance du domaine de Suriane, un vignoble à l'exposition idyllique qui se transmet de génération en génération. C'est Marie-Laure Merlin qui le dirige aujourd'hui et qui apporte sa touche féminine et moderne à l'exploitation. Elle signe la cuvée 1884, un blanc frais et dynamique qui casse les stéréotypes des vins blancs du sud réputés très riches.
Principalement issu du Vermentino, cépage flatteur et aromatique, il donne des vins blancs cristallins aux arômes de fleurs blanches et d'agrumes. On vous le conseille sur un fromage de chèvre à l'huile d'olive de Provence, bien sûr.",https://vandb.fr/domaine-de-suriane-cuvee-1884-blanc-2019.html
VIGNERONS D'AGHIONE DON PAOLU ROSÉ 2020,ROSÉ,ILE DE BEAUTÉ,11.5,VIGNERONS D'AGHIONE,FRANCE,6.6,8,4,2,0,"Rose saumon, reflets violines","fruits rouges gourmands, prune, fraise écrasée","Estival, friand, croquant","Apéro, Barbecue, Charcuterie, Poisson grillé","Petit vignoble au cœur de la Méditerranée, la Corse bénéficie d'un terroir unique entre mer et montagne. Il fait chaud sur l'île de beauté, mais ne vous méprenez pas, les vins gardent tout de même de la fraîcheur ! Les baies de raisins qui poussent sur les hauteurs prennent leur temps pour arriver à maturité et vont réussir à garder de leur vivacité. Ce qui va avoir pour conséquence un jus sur la finesse et l'élégance.
Découvrez le deuxième cépage typique de la Corse : le sciaccarellu ! Son nom signifie ""croquant"", et pour cause, il donne des vins pleins de fruits, plus légers et plus frais que son voisin le niellucciu. Ses arômes gourmands de fruits rouges, de prune et de fraise écrasée en font un rosé de prédilection pour tous vos barbecues, vos piques-niques ou vos soirées d'été en terrasse",https://vandb.fr/vignerons-d-aghione-don-paolu-rose-2020.html
LA TOUR SAINT MARTIN POMMERAIS ROUGE 2019,ROUGE,MENETOU SALON,12.5,DOMAINES MINCHIN,FRANCE,15.2,6,8,6,0,Rouge rubis,"Fruits rouges frais, épices, myrtille","Frais, ample, soyeux","Viande rouge, Viande blanche, Poisson, Fromages","Albane et Bertrand Minchin, vignerons passionnés depuis leur jeunesse, ont commencé l'aventure du vin en 1987 à Menetou Salon. Suite à une mauvaise expérience avec un désherbant en 1999, Bertrand Minchin a eu une prise de conscience et a décidé de conduire son vignoble en agriculture raisonnée. Son objectif : des vins purs, sans levures artificielles, avec très peu de soufre ajouté.
Ses Menetou-Salon rouges issus de la propriété familiale ""La Tour St Martin"" sont de jolis Pinots Noirs pleins de gourmandise.
Du fruit et de la brillance pour votre plus grand plaisir.",https://vandb.fr/la-tour-saint-martin-pommerais-rouge-2019.html
DOMAINE MUCYN LES CARATS SAINT-JOSEPH BLANC 2018,BLANC,SAINT JOSEPH,13.0,DOMAINE MUCYN,FRANCE,25.3,8,4,8,2,"Jaune or pâle, reflets dorés","Fruits secs, abricot confits, floral","Opulent, pulpeux, long","Viande blanche, Poisson, Fromage de chèvre, Fromage à pate molle","Saint-Joseph est une région viticole longiligne, qui s'étend sur une cinquantaine de kilomètres le long de la rive droite du Rhône. Situé dans la partie septentrionale de la Vallée du Rhône, on a plus l'habitude de grands vins rouges de Saint-Joseph que de ses vins blancs puissants et racés.
Le Domaine Mucyn est la propriété de deux anciens champenois qui ont rapporté ici une certaine vision du vin. Leurs parcelles sur Saint-Joseph ont un climat assez particulier, entre continental et méditerranéen qui contribue à l'unicité de leurs vins.
Ces carats sont un joyau des vins blancs de la Vallée du Rhône. Sa robe couleur or pale est typique du cépage utilisé pour cette cuvée, la Roussane. On y retrouve une légère touche boisée élégante, apportée par le passage en barrique de 20% des raisins. D'abord typé plus méridionale, ce vin blanc se dévoile ensuite sur la puissance et la complexité.",https://vandb.fr/domaine-mucyn-les-carats-saint-joseph-blanc-2018.html
CHÂTEAU COUCHEROY PESSAC LÉOGNAN BLANC 2018,BLANC,PESSAC LÉOGNAN,13.0,CHÂTEAU DE COUCHEROY,FRANCE,14.6,6,6,6,4,"Juan pâle, reflets argentés","Agrumes confits, fruits blancs, vanillé","Onctueux, équilibré, boisé","Viande blanche, Poisson, Salade de saison, Fruits de mer, Fromages","Pessac-Léognan parlera surement aux amateurs de majestueux vins blancs. On y trouve ici ce qui se fait de mieux en terme de blanc sec dans le bordelais, grâce à l'expression de deux cépages, sauvignon et sémillon, allié à un terroir unique.
Le Château Coucheroy nous vient tout droit du Château de Rochemarin à l'histoire singulière, une propriété qui a connu Montesquieu à sa tête et qui est maintenant l'une des propriétés des vignobles André Lurthon, figure iconique de Bordeaux. Le nom de Coucheroy nous vient simplement du fait qu'Henry IV aurait séjourné dans ce lieu après la bataille de Coutras.
Ce Pessac-Léognan est une cuvée 100% Sauvignon Blanc, qui laisse ce cépage exprimer sa fraîcheur et son fruit. On retrouvera au nez des notes boisées qui sont le résultat d'un passage d'une partie de la production en barrique, pour apporter du gras et un peu de rondeur à ce vin.",https://vandb.fr/chateau-coucheroy-pessac-leognan-blanc-2018.html
CHÂTEAU LA VIEILLE CROIX LA BELLE ENDORMIE 2018,ROUGE,FRONSAC,14.0,VIGNOBLES INVINDIA,FRANCE,24.9,6,6,10,10,"Pourpre, profonde","Boisées, fruits noirs et réglisse","Puissante, Tannique, belle longueur","Viande rouge, Agneau, Gibier","La Vieille Croix est un petit domaine de Fronsac, ce domaine a à cœur de redonner ses lettres de noblesse à cette appellation, autrefois très prestigieuse qui est devenue la belle endormie du bordelais. La Belle Endormie est-ce que Fronsac peut offrir de meilleur. Issu des meilleurs raisins, d'une vendange manuelle et après un élevage de 18 mois en fut de chêne français, ce vin a été taillé comme les plus grands crus bordelais. Ce vin est taillé pour la garde, il traversera les années pour s'affirmer un peu plus.",https://vandb.fr/chateau-la-vieille-croix-la-belle-endormie-2018.html
CHÂTEAU EUGÉNIE TRADITION ROUGE 2018,ROUGE,CAHORS,13.0,CHÂTEAU EUGÉNIE,FRANCE,8.0,6,6,6,0,"Rouge grenat, reflets violets","Groseilles, myrtille sauvage, épices douces","Souple, rond, tanins fondus","Viande rouge, Agneau, Gibier, Barbecue","Le Château Eugénie, c'est une longue histoire. Le domaine appartient à la famille Couture depuis le 15ème siècle. Une tradition de la vigne qui se transmet de génération en génération sur le terroir de Cahors. Avec un savoir-faire acquit depuis toutes ces années ainsi que la volonté de produire des vins modernes, la famille propose des Malbec originaux, authentiques mais dans l'air du temps.
Tradition donne un aperçu de ce que donne une vinification légère sur un Malbec. Loin d'être dénué de caractère, la structure est fine, et ronde, les arômes puissants de garrigue, de pruneaux s'ouvrent en bouche et la finale reste fraîche. Un vin facile d'accès, que vous pourrez aussi bien marier à des viandes fortes, du gibier, de l'agneau ou à des plats plus simples : spaghettis bolognaises, lasagnes ou encore le traditionnel confit de canard du Sud-Ouest.",https://vandb.fr/chateau-eugenie-tradition-rouge-2018.html
AOP SAVENNIÈRES CHÂTEAU D'EPIRÉ LE CHAPONNIER 2019,BLANC,LOIRE,14.0,CHATEAU D'EPIRÉ,FRANCE,19.9,10,4,8,2,"Jaune pâle, reflets dorés","Fin, notes d'agrumes, citron","Equilibrée, saline, fruitée","Viande blanche, Fruits de mer, Poisson, Fromage à pate cuite","Le Château d'Epiré est la propriété viticole de la famille Bizard, la plus vieille famille vigneronne de Savennières. Il se situe sur les coteaux schisteux du village d'Epiré.
Les 12 hectares de vignes sont vinifiés dans une ancienne église du XIIIème siècle, transformée en cave en 1906. Unique en France !
Depuis 2019, Paul Bizard a pris la suite de son père sur le domaine. Avec une nouvelle vision, il apporte un élan de jeunesse tout en faisant perdurer les valeurs qui font du château d'Epiré, un gage de qualité sur une des plus belles appellations de la Vallée de la Loire.
Le Chaponnier provient d'une parcelle de 6 hectares attenante à la propriété sur un haut de côteaux. Riche et complexe, ce vin blanc est plein de fraîcheur, fruité, assurant un équilibre et une finesse en bouche.
Un vin blanc qui représente parfaitement le terroir de Savennières.",https://vandb.fr/aop-savennieres-chateau-d-epire-le-chaponnier-2019.html
HAUT CLAVERIE SAUTERNES 2016,BLANC MOELLEUX,SAUTERNES,13.5,CHATEAU HAUT CLAVERIE,FRANCE,19.9,8,6,8,2,"Jaune doré, reflets dorés, limpide","Fruits exotiques, cire d'abeille, épices douces","Moelleux, complexe, équilibré",,"Propriétaire du vignoble depuis des générations, la famille Claverie donne tout son amour à ses vins. Mais c'est réellement en 1930 que le vignoble prend un virage sous la houlette de l'héritière légitime de la dynastie. Entre renouvellement, augmentation de la superficie et viticulture raisonnée le vignoble n'a cessé de voir grand. Évidemment, la gente féminine des différentes générations a largement épaulé les hommes pour donner à ce vignoble ses notes de noblesse.
Aujourd'hui, les vins portent aussi bien l'histoire que le caractère et la tradition. Fraîcheur, fruit et douceur sont les maîtres mots des cuvées de Haut Claverie. Les amateurs de bons vins comme les novices avides d'expériences seront surpris par une dégustation chaleureuse, en toute simplicité à la propriété !",https://vandb.fr/haut-claverie-sauternes-2016.html
UBY COLOMBARD UGNI BLANC N°3 2019,BLANC,SANS IG,11.0,DOMAINE D'UBY,FRANCE,6.2,8,6,6,0,Robe jaune aux reflets verts,"Vif, Agrumes, Fruits à noyaux","Fruits mûrs, Ronde, Fraîche","Fruits de mer, Poisson, Apéro, Tapas, Fromage doux","Fameux vignoble des Côtes de Gascogne, le domaine Uby cultive la vigne depuis plus d'un siècle. La tortue cistude, espèce en voie de disparition a choisi l'étang d'Uby pour se reproduire. Le vigneron s'est ainsi engagé à préserver ce lieu et la tortue s'est de suite imposée comme l'emblème du domaine.
Le n°3, plus sec que le n°4 est tout aussi ample et intense. Véritable vin de plaisir et de partage, il fera le bonheur des apéritifs entre amis.
Un vin blanc est Idéal à l'apéritif ou avec des fruits de mer, des poissons ou des fromages à pâte crémeuse. À servir frais.",https://vandb.fr/uby-colombard-ugni-blanc-n-3-2019.html
VIGNOBLE RHONÉA CONFIDENCE ROUGE 2017,ROUGE,BEAUME DE VENISE,15.0,VIGNOBLE RHONÉA,FRANCE,14.7,8,4,8,0,"Rouge grenat, reflets orangés","Torréfaction, pruneau, fruits à noyaux","Concentré, charnu, soyeux","Viande rouge, Agneau, Barbecue, Ribs, Plats épicés","Au cœur des Dentelles de Montmirail, les vignes de l'appellation Beaumes-de-Venise s'enracinent sur un volcan froid. Un phénomène géologique qui crée un terroir unique.
Confidence, c'est une composition parcellaire, une véritable partition qui assemble avec harmonie des vins issus d'une sélection de terroirs. À la dégustation, une symphonie d'arômes intenses nous parvient : la torréfaction, les fruits à noyaux, les fruits mûrs... Las tanins sont soyeux et le bois est joliment intégré à l'ensemble. Confidence est idéal sur une côte de bœuf grillée, un gigot d'agneau à la broche ou même des truffes.",https://vandb.fr/vignoble-rhonea-confidence-rouge-2017.html
CLOS ROUSSELY L'ESCALE BLANC 2019,BLANC,TOURAINE,12.5,CLOS DE ROUSSELY,FRANCE,9.2,8,8,4,0,"Jaune pâle, reflets verts","Pêche blanche, agrumes frais, pamplemousse","Frais, expressif, croquant","Fruits de mer, Poisson, Apéro, Salade de saison","Vincent Roussely a à coeur de prendre soin de sa vigne et de ses vins. Issu de la 4ème génération à reprendre le vignoble, il n’utilise ni pesticides, ni herbicides, ni molécules chimiques et l’essentiel des vendanges se fait manuellement. Le jus est ensuite mis à vinifier dans des caves troglodytes, où le temps fera son ouvrage et non la chimie.
Ce blanc, fait exclusivement en cépage Sauvignon, est une alternative plus abordable mais très qualitative à un Sancerre Blanc ou un Pouilly Fumé. Compagnon de la convivialité et du partage, il se mariera avec vos apéritifs, entrées froides et plateaux de fruits de mer.",https://vandb.fr/clos-roussely-l-escale-blanc-2019.html
DOMAINE LES CLOS MAURICE LE PIAF 2020,ROUGE,SAUMUR CHAMPIGNY,13.0,DOMAINE LES CLOS MAURICE,FRANCE,9.95,8,6,6,0,"Robe lumineuse, Rouge grenat","Expressif, Fruits rouges, Gourmand","Veloutée, Persistante, ligérien","Viande rouge, Viande blanche, Barbecue","Une pépite au cœur de l'appellation Saumur Champigny, les clos Maurice est un domaine familial, régulièrement récompensé et vanté dans la presse spécialisée. Convertis au bio depuis 2012, cette transition était une évidence pour les vignerons. C'est ainsi qu'ils tirent le meilleur de leur terroir et de leurs cépages pour des vins de haute qualité.
Le piaf est un beau rouge à la robe lumineuse, des arômes de fruits rouges et d'épices. Il est gourmand, corpulent, velouté, parfait pour toutes les viandes rouges.",https://vandb.fr/domaine-les-clos-maurice-le-piaf-2020.html
CHÂTEAU PONTAC GADET MÉDOC 2016,ROUGE,MÉDOC,14.0,BRIOLAIS,FRANCE,10.0,6,6,6,4,"Rouge grenat, reflets rosés","Fruits noirs, moka, boisé","Ample, puissant, persistant","Viande rouge, Viande blanche, Agneau","La région du Médoc occupe une large partie de la Gironde et est surtout connue pour la viticulture qui y est une religion. L'appellation qui en découle est une appellation générale qui englobe les 52 communes de la région médocaine.
Le Château Pontac Gadet appartient aux vignobles de la Famille Briolais. Implantée sur l'appellation Côtes de Bourg, cette famille décide de traverser l'estuaire et de racheter ce domaine de 11 hectares de la rive gauche.
Ce médoc issu du millésime 2014 est à son apogée. On y retrouve toute sa puissance et ses tanins sont bien fondus, on ressent des notes de moka et une belle ampleur en bouche.",https://vandb.fr/chateau-pontac-gadet-medoc-2016.html
CHÂTEAU MÉTAIRIE NEUVE CÔTES DE BOURG 2019,ROUGE,CÔTES DE BOURG,13.5,CHÂTEAU MÉTAIRIE NEUVE,FRANCE,7.2,6,4,6,0,"Rouges rubis, nuances violines","Fruits rouges, automnale, flatteur","Charnu, mûr, tanins délicats",,"L'appellation Côtes de Bourg est située au nord ouest de la rive droite bordelaise. Cette appellation plutôt méconnue de cette région est parfaite pour apprécier les vins de Bordeaux. C'est une région historique des vins de Bordeaux, on y trouve des traces très anciennes de viticulture, on surnomme cette appellation ""la petite suisse girondine"" grâce à son paysage si particulier. Cette région est une spécialiste des vins rouges et la quasi-totalité de sa production est destinée à la réalisation de ceux-ci.
Ce Château Métairie Neuve est LA bouteille de vin rouge parfaite pour découvrir un produit typique de la région, un vin aux tanins délicats, avec un joli fruit.",https://vandb.fr/chateau-metairie-neuve-cotes-de-bourg-2019.html
